size			strategy			latency			hit
0.02			LCD			3.76192631579			0.209666666667
0.02			PROB_CACHE			3.96658947368			0.123861403509
0.02			MEDGE			3.90814385965			0.133756140351
0.02			LCE			3.8614754386			0.182475438596
0.02			CMEDGE			3.77710175439			0.276635087719
0.02			CLCE			3.73846842105			0.321268421053
0.02			CCLCE			3.76472982456			0.323521052632
0.02			CB			3.9843754386			0.288347368421
0.02			NCMEDGE			3.80657719298			0.277294736842

0.05			LCD			3.60786491228			0.272333333333
0.05			MEDGE			3.76518245614			0.184294736842
0.05			PROB_CACHE			3.8543			0.169068421053
0.05			LCE			3.70564385965			0.244956140351
0.05			CMEDGE			3.62230350877			0.333280701754
0.05			CLCE			3.57340701754			0.385242105263
0.05			CCLCE			3.60415964912			0.388459649123
0.05			CB			3.92065263158			0.348556140351
0.05			NCMEDGE			3.66675789474			0.334826315789

0.1			LCD			3.48652631579			0.326347368421
0.1			PROB_CACHE			3.77949824561			0.202435087719
0.1			LCE			3.56660526316			0.298812280702
0.1			MEDGE			3.6472877193			0.220936842105
0.1			CMEDGE			3.49421754386			0.379252631579
0.1			CLCE			3.43802280702			0.433338596491
0.1			CCLCE			3.46828947368			0.435740350877
0.1			NCMEDGE			3.55162807018			0.382377192982
0.1			CB			3.8537754386			0.397428070175

0.2			LCD			3.3770245614			0.374043859649
0.2			PROB_CACHE			3.69876666667			0.234563157895
0.2			LCE			3.42845263158			0.350435087719
0.2			MEDGE			3.52382280702			0.259698245614
0.2			CMEDGE			3.36222807018			0.430680701754
0.2			CLCE			3.29733859649			0.483135087719
0.2			CCLCE			3.32853157895			0.487057894737
0.2			CB			3.79834912281			0.456036842105
0.2			NCMEDGE			3.43722982456			0.434705263158

0.3			LCD			3.31704035088			0.400612280702
0.3			PROB_CACHE			3.65294210526			0.255412280702
0.3			LCE			3.34668947368			0.380245614035
0.3			MEDGE			3.44983157895			0.284028070175
0.3			CMEDGE			3.28079824561			0.463959649123
0.3			CLCE			3.21137719298			0.51459122807
0.3			CCLCE			3.2481754386			0.519263157895
0.3			CB			3.75980526316			0.493496491228
0.3			NCMEDGE			3.36112982456			0.471533333333

0.5			LCD			3.24445964912			0.43381754386
0.5			PROB_CACHE			3.60594385965			0.279645614035
0.5			LCE			3.23944912281			0.416649122807
0.5			MEDGE			3.35824561404			0.31491754386
0.5			CMEDGE			3.17019122807			0.508854385965
0.5			CLCE			3.1038754386			0.557629824561
0.5			CCLCE			3.14217894737			0.5625
0.5			CB			3.71551403509			0.541114035088
0.5			NCMEDGE			3.26464035088			0.51591754386

