size			strategy			latency			hit
0.1			LCD			5.06476748192			0.119766819471
0.1			PROB_CACHE			5.21800763136			0.11087389703
0.1			LCE			5.25336071438			0.0709756485333
0.1			MEDGE			5.16308407748			0.107053181059
0.1			CMEDGE			4.78484883012			0.180753862053
0.1			CLCE			4.88249794642			0.153063674183

0.3			LCD			4.85044754763			0.178749039455
0.3			PROB_CACHE			5.00761970375			0.172485492461
0.3			LCE			5.0518347068			0.123375553141
0.3			MEDGE			4.89900977768			0.183046450621
0.3			CMEDGE			4.3572071332			0.279121863324
0.3			CLCE			4.47736506002			0.245898937439

0.5			PROB_CACHE			4.92235008877			0.195476827685
0.5			LCE			4.91379686796			0.158332229259
0.5			LCD			4.76300246429			0.205965446885
0.5			MEDGE			4.74028511619			0.223093086727
0.5			CMEDGE			4.11745276769			0.334488195236
0.5			CLCE			4.2500945971			0.297883886695

0.7			PROB_CACHE			4.88300882376			0.206562177058
0.7			LCE			4.80821934868			0.18476695196
0.7			MEDGE			4.62924216328			0.249306817881
0.7			LCD			4.7128646758			0.22342430907
0.7			CMEDGE			3.9394695143			0.376428363232
0.7			CLCE			4.08158880733			0.33709796232

0.9			PROB_CACHE			4.86506240229			0.211763427754
0.9			LCE			4.72311958451			0.206140332282
0.9			LCD			4.67506240229			0.237119955484
0.9			MEDGE			4.55137152548			0.267785844882
0.9			CMEDGE			3.80327115186			0.408857945362
0.9			CLCE			3.95037865338			0.368469752776

1.1			PROB_CACHE			4.85599008983			0.21505365802
1.1			LCE			4.64966241819			0.224631813244
1.1			LCD			4.64626699171			0.248348922865
1.1			MEDGE			4.49458544212			0.281518588198
1.1			CMEDGE			3.69619703755			0.434871883198
1.1			CLCE			3.84061686849			0.395094464612

1.3			PROB_CACHE			4.84616153051			0.216480033917
1.3			LCE			4.58838045523			0.240317708471
1.3			LCD			4.62267283182			0.258024589947
1.3			MEDGE			4.4530766581			0.292039534699
1.3			CMEDGE			3.61260075784			0.455164948727
1.3			CLCE			3.75118524603			0.417342006942

2			PROB_CACHE			4.84169373857			0.217762261851
2			LCE			4.42133310369			0.284902090675
2			LCD			4.56125811495			0.285858395824
2			MEDGE			4.37049656854			0.312465884099
2			CMEDGE			3.44514004081			0.49525424627
2			CLCE			3.53078592438			0.472904952436

3			PROB_CACHE			4.84282916876			0.217984578288
3			LCE			4.26926521635			0.330060414955
3			LCD			4.4992418983			0.317453032672
3			MEDGE			4.36321020695			0.314068735261
3			CMEDGE			3.41955457219			0.501523092822
3			CLCE			3.38647897401			0.513409470309

