size			strategy			latency			hit
0.02			LCD			3.78662			0.0319233333333
0.02			PROB_CACHE			3.85386633333			0.0157116666667
0.02			MEDGE			7.70155733333			0.0162403333333
0.02			LCE			3.86143166667			0.00860033333333
0.02			NCMEDGE			3.83270466667			0.055911
0.02			CB			3.851018			0.058453
0.02			CMEDGE			3.82319			0.056741
0.02			CLCE			3.83809533333			0.052521
0.02			CCLCE			3.84331233333			0.052557

0.05			LCD			3.74158266667			0.048156
0.05			PROB_CACHE			3.824007			0.0317566666667
0.05			MEDGE			7.63803933333			0.0320113333333
0.05			LCE			3.83790566667			0.0182716666667
0.05			NCMEDGE			3.78896933333			0.101482666667
0.05			CB			3.82513433333			0.107095
0.05			CMEDGE			3.77461933333			0.101847333333
0.05			CLCE			3.79833633333			0.095262
0.05			CCLCE			3.80750366667			0.0966896666667

0.1			PROB_CACHE			3.78585533333			0.050592
0.1			LCE			3.80865			0.0308506666667
0.1			LCD			3.69271366667			0.0661206666667
0.1			MEDGE			7.557794			0.0510346666667
0.1			CMEDGE			3.71586033333			0.154801333333
0.1			NCMEDGE			3.73332866667			0.154867
0.1			CB			3.79406766667			0.166333
0.1			CLCE			3.747524			0.145492333333
0.1			CCLCE			3.76318033333			0.149253333333

0.2			PROB_CACHE			3.72741633333			0.0786383333333
0.2			LCD			3.63265566667			0.0889283333333
0.2			LCE			3.76131266667			0.0505123333333
0.2			MEDGE			7.43761066667			0.0786506666667
0.2			CMEDGE			3.630335			0.232252666667
0.2			NCMEDGE			3.65088933333			0.230346
0.2			CB			3.74429033333			0.254894333333
0.2			CLCE			3.672126			0.216600666667
0.2			CCLCE			3.69340766667			0.226706666667

0.3			LCD			3.59077266667			0.105542333333
0.3			PROB_CACHE			3.681418			0.100879666667
0.3			MEDGE			7.343822			0.100396333333
0.3			LCE			3.72364866667			0.066716
0.3			CMEDGE			3.56563566667			0.290395
0.3			CB			3.707403			0.324812
0.3			NCMEDGE			3.58641366667			0.288009333333
0.3			CLCE			3.61120466667			0.270665
0.3			CCLCE			3.63533866667			0.286599666667

0.5			LCE			3.65716033333			0.0936093333333
0.5			PROB_CACHE			3.60749966667			0.135138
0.5			LCD			3.530256			0.131021666667
0.5			MEDGE			7.189642			0.134465333333
0.5			CMEDGE			3.461654			0.381468
0.5			CB			3.63650433333			0.43667
0.5			CCLCE			3.54132766667			0.381515333333
0.5			NCMEDGE			3.480907			0.376583666667
0.5			CLCE			3.513017			0.353886666667

