size			strategy			latency			hit
0.1			LCD			5.650411			0.0328474
0.1			PROB_CACHE			5.7496562			0.0251542
0.1			LCE			5.769847			0.007239
0.1			CLCE			5.5840664			0.0630292
0.1			MEDGE			5.7749096			0.0039134
0.1			NCTEDGE			5.636139			0.0400132
0.1			CTEDGE			5.547015			0.0647832

0.3			LCD			5.5347472			0.059662
0.3			PROB_CACHE			5.6860816			0.0540832
0.3			LCE			5.7293692			0.0190314
0.3			CLCE			5.3803714			0.121373
0.3			MEDGE			5.7408066			0.0111318
0.3			NCTEDGE			5.4418482			0.0896868
0.3			CTEDGE			5.3419266			0.1178738

0.5			LCD			5.4595908			0.0777564
0.5			PROB_CACHE			5.6344776			0.0744994
0.5			LCE			5.6921302			0.0294582
0.5			CLCE			5.2287172			0.1640116
0.5			MEDGE			5.7076564			0.0180996
0.5			NCTEDGE			5.2912154			0.1278532
0.5			CTEDGE			5.1967			0.1550234

0.7			LCD			5.3997152			0.0920468
0.7			PROB_CACHE			5.5843142			0.0905152
0.7			LCE			5.6605904			0.0385228
0.7			CLCE			5.109144			0.1972246
0.7			MEDGE			5.6776996			0.0243832
0.7			NCTEDGE			5.164959			0.1601932
0.7			CTEDGE			5.0769564			0.1852758

0.9			LCD			5.3485606			0.1045124
0.9			PROB_CACHE			5.5410034			0.1049798
0.9			LCE			5.6296332			0.0469176
0.9			CLCE			5.0005002			0.2273562
0.9			MEDGE			5.650617			0.0302266
0.9			NCTEDGE			5.0522246			0.1889798
0.9			CTEDGE			4.970655			0.2121376

1.1			LCD			5.3041188			0.1149898
1.1			PROB_CACHE			5.5015204			0.1172572
1.1			LCE			5.6014876			0.054548
1.1			CLCE			4.9090462			0.2525726
1.1			MEDGE			5.6236978			0.0357906
1.1			NCTEDGE			4.9497864			0.214929
1.1			CTEDGE			4.8763618			0.2359238

1.3			LCD			5.2614676			0.1254892
1.3			PROB_CACHE			5.4660572			0.1286254
1.3			LCE			5.574615			0.0618332
1.3			CLCE			4.8221768			0.2767242
1.3			MEDGE			5.5982652			0.0412782
1.3			NCTEDGE			4.8543384			0.2395098
1.3			CTEDGE			4.7905956			0.2575082

2			LCD			5.1461296			0.1539
2			PROB_CACHE			5.3546464			0.1614984
2			LCE			5.4902448			0.0845332
2			CLCE			4.5702376			0.3453952
2			MEDGE			5.5191118			0.0578702
2			NCTEDGE			4.5633922			0.3137048
2			CTEDGE			4.5303738			0.3226024

3			LCD			5.015646			0.1865228
3			PROB_CACHE			5.2191154			0.2014246
3			LCE			5.3863776			0.1120256
3			CLCE			4.285			0.4224148
3			MEDGE			5.4198764			0.0787198
3			NCTEDGE			4.2173866			0.4019002
3			CTEDGE			4.2293214			0.3976414

