size			strategy			latency			hit
0.02			LCD			4.73085561356			0.0782445215824
0.02			PROB_CACHE			4.84713744402			0.0570873632052
0.02			LCE			4.86710962135			0.039964227987
0.02			CB			4.85028962082			0.0626987996502
0.02			CLCE			4.80797821882			0.07142982061
0.02			CCLCE			4.82973025252			0.0714732769814
0.02			MEDGE			9.76748297517			0.0290646281036
0.02			CTEDGE			4.7452802141			0.0885799835714

0.05			LCD			4.59168631919			0.119147831156
0.05			PROB_CACHE			4.76630885821			0.0834865788707
0.05			LCE			4.78369617637			0.0646734147699
0.05			CB			4.76099949654			0.0999679376772
0.05			CLCE			4.69484220568			0.112529213811
0.05			CCLCE			4.72510824346			0.113540104401
0.05			MEDGE			9.62505842762			0.0468676965473
0.05			CTEDGE			4.61911470892			0.132699594584

0.1			LCD			4.45049603858			0.159884734625
0.1			PROB_CACHE			4.66959325896			0.115919605713
0.1			LCE			4.69261268184			0.091876838284
0.1			CB			4.66070166141			0.141969315562
0.1			CLCE			4.57085534858			0.156964943427
0.1			CCLCE			4.60948488301			0.159127957816
0.1			MEDGE			9.47035162564			0.0662060467951
0.1			CTEDGE			4.4875844617			0.177861363576

0.2			PROB_CACHE			4.54304353586			0.153764010705
0.2			LCE			4.56517448793			0.129850022523
0.2			LCD			4.31421155833			0.201100983068
0.2			CB			4.52655237288			0.197970799438
0.2			CLCE			4.40495005167			0.214158297782
0.2			CCLCE			4.4576862132			0.218545536448
0.2			MEDGE			9.25197594001			0.0935030074989
0.2			CTEDGE			4.33097564853			0.231933278571

0.3			LCD			4.24728291688			0.223129918652
0.3			PROB_CACHE			4.46609873076			0.175497495959
0.3			LCE			4.46886695461			0.157939267071
0.3			CB			4.43189114709			0.237430509552
0.3			CCLCE			4.3518874374			0.260191314025
0.3			CLCE			4.28686743157			0.253241209359
0.3			MEDGE			9.07832639975			0.115209200032
0.3			CTEDGE			4.22940750947			0.267745833223

0.5			LCD			4.17329605978			0.249968732611
0.5			PROB_CACHE			4.38617027478			0.19884946607
0.5			LCE			4.32198388935			0.199637510268
0.5			CB			4.29330188929			0.294651156628
0.5			CLCE			4.1124407112			0.309711439095
0.5			CCLCE			4.19955642704			0.321544026074
0.5			MEDGE			8.79819391081			0.150225761149
0.5			CTEDGE			4.08198044463			0.320301279843

