size			strategy			latency			hit
0.1			MEDGE			4.092737			0.058854
0.1			LCD			3.98237366667			0.0766013333333
0.1			PROB_CACHE			4.094064			0.0628826666667
0.1			LCE			4.13085833333			0.0369796666667
0.1			CB			3.97873566667			0.148671
0.1			CMEDGE			3.91737133333			0.138778666667
0.1			CLCE			3.965666			0.124505
0.1			CCLCE			3.96907666667			0.126085333333

0.3			MEDGE			3.95268166667			0.114769
0.3			LCD			3.85043333333			0.123271
0.3			PROB_CACHE			3.95337533333			0.121587
0.3			LCE			4.02000233333			0.0786506666667
0.3			CB			3.737556			0.291399666667
0.3			CMEDGE			3.63499433333			0.260293333333
0.3			CCLCE			3.71899433333			0.241411666667
0.3			CLCE			3.71833233333			0.236090666667

0.5			MEDGE			3.851847			0.154437
0.5			LCD			3.774175			0.153065333333
0.5			PROB_CACHE			3.853349			0.161755333333
0.5			LCE			3.93712866667			0.109761333333
0.5			CMEDGE			3.444623			0.341231
0.5			CB			3.55451666667			0.392518666667
0.5			CLCE			3.54342033333			0.311675666667
0.5			CCLCE			3.54111666667			0.321617666667

0.7			LCD			3.71426733333			0.177162
0.7			MEDGE			3.76657366667			0.186807333333
0.7			PROB_CACHE			3.773607			0.195253333333
0.7			LCE			3.86652266667			0.136169333333
0.7			CMEDGE			3.293087			0.403719666667
0.7			CB			3.397402			0.474525333333
0.7			CCLCE			3.39642566667			0.384739666667
0.7			CLCE			3.402232			0.37097

0.9			PROB_CACHE			3.70902066667			0.222658666667
0.9			LCD			3.663215			0.197981333333
0.9			MEDGE			3.694395			0.214327666667
0.9			LCE			3.804519			0.159644333333
0.9			CMEDGE			3.16251233333			0.457019
0.9			CB			3.27125133333			0.544733666667
0.9			CLCE			3.27920666667			0.421545
0.9			CCLCE			3.27323233333			0.438426

1.1			LCD			3.622631			0.215816
1.1			MEDGE			3.62824933333			0.238463666667
1.1			PROB_CACHE			3.65463333333			0.246843
1.1			LCE			3.746887			0.180843
1.1			CMEDGE			3.047563			0.502831
1.1			CB			3.14491633333			0.604816666667
1.1			CLCE			3.17374766667			0.464388
1.1			CCLCE			3.161273			0.485102

1.3			MEDGE			3.56862233333			0.260149
1.3			LCD			3.58453133333			0.232185
1.3			PROB_CACHE			3.60574366667			0.26766
1.3			LCE			3.69236466667			0.20086
1.3			CMEDGE			2.94694633333			0.542815333333
1.3			CB			3.03541133333			0.659801333333
1.3			CCLCE			3.06282033333			0.525830666667
1.3			CLCE			3.077184			0.502744666667

