size			strategy			latency			hit
0.1			MEDGE			5.3377218			0.0607252
0.1			LCD			5.1687274			0.0829364
0.1			PROB_CACHE			5.3432362			0.071791
0.1			LCE			5.4080046			0.0325614
0.1			CMEDGE			5.0291554			0.1252476
0.1			CLCE			5.1200398			0.0989748

0.3			MEDGE			5.1111152			0.1271654
0.3			LCD			4.925221			0.1425224
0.3			PROB_CACHE			5.1121922			0.1435794
0.3			LCE			5.2508302			0.0750424
0.3			CMEDGE			4.5514464			0.2409728
0.3			CLCE			4.706395			0.1979168

0.5			MEDGE			4.9455104			0.173538
0.5			LCD			4.7652786			0.1828526
0.5			PROB_CACHE			4.947122			0.1919982
0.5			LCE			5.1273382			0.1072078
0.5			CMEDGE			4.2328382			0.3175044
0.5			CLCE			4.4182744			0.2660722

0.7			PROB_CACHE			4.8086322			0.2320368
0.7			LCE			5.0232556			0.1346704
0.7			MEDGE			4.8111936			0.2112096
0.7			LCD			4.6384116			0.2153402
0.7			CMEDGE			3.9806202			0.3772214
0.7			CLCE			4.187437			0.3206964

0.9			LCD			4.5309416			0.242823
0.9			MEDGE			4.6946484			0.243543
0.9			PROB_CACHE			4.6861142			0.2663946
0.9			LCE			4.9279672			0.1592958
0.9			CMEDGE			3.770494			0.4263688
0.9			CLCE			3.9921824			0.366569

1.1			LCD			4.438644			0.2670804
1.1			MEDGE			4.587197			0.2722326
1.1			PROB_CACHE			4.57686			0.296216
1.1			LCE			4.8444388			0.1810394
1.1			CMEDGE			3.5889158			0.4684786
1.1			CLCE			3.8182798			0.4073096

1.3			LCD			4.3535972			0.289518
1.3			MEDGE			4.4908248			0.2983536
1.3			PROB_CACHE			4.4758492			0.323763
1.3			LCE			4.7650478			0.2015762
1.3			CMEDGE			3.4281446			0.5059652
1.3			CLCE			3.6657018			0.4426536

2			LCD			4.1056072			0.3554442
2			MEDGE			4.2052048			0.3744826
2			PROB_CACHE			4.1742754			0.4046522
2			LCE			4.5191778			0.264818
2			CMEDGE			2.979801			0.6079216
2			CLCE			3.2213054			0.545292

3			MEDGE			3.8781088			0.4593106
3			PROB_CACHE			3.8262118			0.4950708
3			LCD			3.8193024			0.4324086
3			LCE			4.2285344			0.3388738
3			CMEDGE			2.527134			0.7086838
3			CLCE			2.7529134			0.6517296

