branching-factor			size			strategy			latency			hit
2			1			CTEDGE			7.9535721			0.3011249
2			1			NCTEDGE			8.1357038			0.2867803
2			1			MEDGE			8.5384808			0.1826899
2			1			LCD			7.94801566667			0.301981
2			1			PROB_CACHE			8.20542833333			0.320221833333
2			1			LCE			8.71007733333			0.200211
2			1			CLCE			8.39884283333			0.268368

2			5			CTEDGE			5.5151418			0.6312709
2			5			MEDGE			5.9300768			0.5087404
2			5			NCTEDGE			4.9923589			0.7703355
2			5			LCD			5.75003966667			0.646929333333
2			5			CLCE			5.90213583333			0.643545833333

2			10			CTEDGE			3.8645234			0.8369734
2			10			MEDGE			3.8346664			0.7706667
2			10			NCTEDGE			3.5005567			0.9999993
2			10			LCD			4.234767			0.860224333333
2			10			CLCE			4.223498			0.856112833333



3			1			CTEDGE			9.012932			0.1538359
3			1			MEDGE			9.5376544			0.0577932
3			1			NCTEDGE			9.2314514			0.1280959
3			1			LCD			8.896292			0.158000666667
3			1			PROB_CACHE			9.25178233333			0.156478833333
3			1			LCE			9.47072433333			0.0882498333333
3			1			CLCE			9.18247316667			0.159323333333

3			5			CTEDGE			7.7482414			0.3391722
3			5			MEDGE			8.5493944			0.1813257
3			5			NCTEDGE			7.790234			0.3682876
3			5			LCD			7.70284133333			0.340770666667
3			5			CLCE			7.7502725			0.411619333333

3			10			CTEDGE			6.8148137			0.4722674
3			10			MEDGE			7.7222752			0.2847156
3			10			NCTEDGE			6.6118815			0.5647646
3			10			LCD			6.85795233333			0.473425
3			10			CLCE			6.68592466667			0.584574166667



4			1			CTEDGE			9.4297094			0.0923278
4			1			MEDGE			9.8224688			0.0221914
4			1			NCTEDGE			9.6024506			0.0691441
4			1			LCD			9.31462866667			0.0967218333333
4			1			PROB_CACHE			9.64796266667			0.0881636666667
4			1			LCE			9.75497366667			0.0431611666667
4			1			CLCE			9.53236133333			0.101181

4			5			CTEDGE			8.6521719			0.2115846
4			5			MEDGE			9.346			0.08175
4			5			NCTEDGE			8.7839748			0.2114813
4			5			LCD			8.54685466667			0.210849166667
4			5			CLCE			8.61751283333			0.278424333333

4			10			CTEDGE			8.0673518			0.2996422
4			10			MEDGE			8.932308			0.1334615
4			10			NCTEDGE			8.0983175			0.3307363
4			10			LCD			8.037041			0.2904945
4			10			CLCE			7.90708966667			0.409283166667



5			1			CTEDGE			9.6343794			0.0605889
5			1			NCTEDGE			9.7713075			0.0408482
5			1			MEDGE			9.9218984			0.0097627
5			1			LCD			9.54111933333			0.0643486666667
5			1			PROB_CACHE			9.81297866667			0.0547216666667
5			1			LCE			9.876567			0.0226206666667
5			1			CLCE			9.71099816667			0.0677566666667

5			5			CTEDGE			9.1079472			0.1443009
5			5			MEDGE			9.6726568			0.0409179
5			5			NCTEDGE			9.2437648			0.1350135
5			5			LCD			9.00622533333			0.142975
5			5			CLCE			9.08291883333			0.1982425

5			10			CTEDGE			8.71159			0.2060823
5			10			MEDGE			9.4361336			0.0704833
5			10			NCTEDGE			8.7960069			0.2149298
5			10			LCD			8.677926			0.19446
5			10			CLCE			8.57740666667			0.2984975



