size			strategy			latency			hit
0.02			LCD			3.924382			0.0330576666667
0.02			PROB_CACHE			3.99581133333			0.0169496666667
0.02			LCE			4.004266			0.00886466666667
0.02			CTEDGE			3.935378			0.0576256666667
0.02			CB			4.00566233333			0.0469516666667

0.05			LCD			3.87371633333			0.050552
0.05			PROB_CACHE			3.96332766667			0.033931
0.05			LCE			3.97997233333			0.018879
0.05			CTEDGE			3.887069			0.0903623333333
0.05			CB			3.98983633333			0.0871553333333

0.1			LCD			3.822882			0.068999
0.1			PROB_CACHE			3.92221566667			0.0543103333333
0.1			LCE			3.947701			0.0317226666667
0.1			CTEDGE			3.83404733333			0.127229
0.1			CB			3.970505			0.136046333333

0.2			LCD			3.75552166667			0.093308
0.2			PROB_CACHE			3.86016533333			0.0830843333333
0.2			LCE			3.897269			0.051984
0.2			CTEDGE			3.761977			0.179311333333
0.2			CB			3.939006			0.209755666667

0.3			LCD			3.71201733333			0.110209333333
0.3			PROB_CACHE			3.81054733333			0.105517
0.3			LCE			3.85598433333			0.0686803333333
0.3			CTEDGE			3.705826			0.219543
0.3			CB			3.91120166667			0.267335

0.5			LCD			3.647365			0.136144333333
0.5			PROB_CACHE			3.732144			0.141327
0.5			LCE			3.78626566667			0.0964606666667
0.5			CTEDGE			3.61685533333			0.284309
0.5			CB			3.862475			0.360411

