size			strategy			latency			hit
0.02			LCD			3.63970072993			0.180362530414
0.02			MEDGE			3.78305352798			0.0475182481752
0.02			PROB_CACHE			3.80735766423			0.0412822384428
0.02			LCE			3.60763746959			0.18097810219
0.02			CMEDGE			3.67619708029			0.203681265207
0.02			CLCE			3.55222384428			0.267829683698
0.02			CCLCE			3.57473479319			0.269238442822
0.02			CB			3.76085644769			0.204717761557
0.02			NCMEDGE			3.70859610706			0.199272506083

0.05			MEDGE			3.74615328467			0.0645109489051
0.05			LCD			3.57511922141			0.221114355231
0.05			PROB_CACHE			3.7778053528			0.0580729927007
0.05			LCE			3.54564476886			0.21803649635
0.05			CMEDGE			3.62255961071			0.24298540146
0.05			CLCE			3.48713625304			0.309656934307
0.05			CCLCE			3.51674939173			0.310530413625
0.05			CB			3.73833819951			0.247683698297
0.05			NCMEDGE			3.66123844282			0.237866180049

0.1			LCD			3.52295377129			0.249637469586
0.1			PROB_CACHE			3.74546472019			0.0729440389294
0.1			LCE			3.49568126521			0.244878345499
0.1			MEDGE			3.70452068127			0.083099756691
0.1			CMEDGE			3.56401216545			0.28097080292
0.1			CLCE			3.43021411192			0.344742092457
0.1			CCLCE			3.46683698297			0.346732360097
0.1			CB			3.71960340633			0.288136253041
0.1			NCMEDGE			3.61060827251			0.274352798054

0.2			LCD			3.47741119221			0.274226277372
0.2			PROB_CACHE			3.71343552311			0.0920121654501
0.2			LCE			3.44181021898			0.26997323601
0.2			MEDGE			3.65573722628			0.103829683698
0.2			CMEDGE			3.49900973236			0.324114355231
0.2			CLCE			3.36570559611			0.386924574209
0.2			CCLCE			3.41044768856			0.389875912409
0.2			CB			3.68487591241			0.334367396594
0.2			NCMEDGE			3.55072992701			0.319576642336

0.3			LCD			3.44649391727			0.290094890511
0.3			PROB_CACHE			3.69437226277			0.103827250608
0.3			LCE			3.40400973236			0.285717761557
0.3			MEDGE			3.62171046229			0.117890510949
0.3			CLCE			3.32472506083			0.411861313869
0.3			CMEDGE			3.45122871046			0.351503649635
0.3			CCLCE			3.37443552311			0.414902676399
0.3			CB			3.66960097324			0.363379562044
0.3			NCMEDGE			3.51255231144			0.345547445255

0.5			LCD			3.40576642336			0.310630170316
0.5			PROB_CACHE			3.66985644769			0.118537712895
0.5			LCE			3.35701459854			0.307160583942
0.5			MEDGE			3.57873722628			0.136593673966
0.5			CMEDGE			3.39396836983			0.383192214112
0.5			CLCE			3.26677615572			0.443430656934
0.5			CCLCE			3.32343552311			0.447080291971
0.5			CB			3.65066423358			0.39202919708
0.5			NCMEDGE			3.46735279805			0.377905109489

